T08,Public expenditure on education (new),,,,
50,Bangladesh,2009,Expenditure by level of education: primary (as % of government expenditure),44.728,
50,Bangladesh,2009,Expenditure by level of education: secondary (as % of government expenditure),40.2057,
50,Bangladesh,2009,Expenditure by level of education: tertiary (as % of government expenditure),13.5014,
50,Bangladesh,2009,Government expenditure on education (% of government expenditure),14.0299,
50,Bangladesh,2009,Public expenditure on education (% of GDP),1.9394,
50,Bangladesh,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.2789,
50,Bangladesh,2012,All staff compensation as % of total expenditure in public institutions (%),95.1827,
50,Bangladesh,2012,Capital expenditure as % of total expenditure in public institutions (%),0.5384,
50,Bangladesh,2012,Expenditure by level of education: primary (as % of government expenditure),44.6029,
50,Bangladesh,2012,Expenditure by level of education: secondary (as % of government expenditure),39.0991,
50,Bangladesh,2012,Expenditure by level of education: tertiary (as % of government expenditure),14.7335,
50,Bangladesh,2012,Government expenditure on education (% of government expenditure),15.5932,
50,Bangladesh,2012,Public expenditure on education (% of GDP),2.1755,
50,Bangladesh,2013,Government expenditure on education (% of government expenditure),13.8228,Estimate.
50,Bangladesh,2013,Public expenditure on education (% of GDP),1.9662,Estimate.
50,Bangladesh,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.8574,
50,Bangladesh,2016,All staff compensation as % of total expenditure in public institutions (%),72.9599,
50,Bangladesh,2016,Capital expenditure as % of total expenditure in public institutions (%),14.1827,
50,Bangladesh,2016,Expenditure by level of education: secondary (as % of government expenditure),64.3283,
50,Bangladesh,2016,Expenditure by level of education: tertiary (as % of government expenditure),33.2774,
50,Bangladesh,2016,Government expenditure on education (% of government expenditure),11.4194,
50,Bangladesh,2016,Public expenditure on education (% of GDP),1.5355,
50,Bangladesh,2018,Government expenditure on education (% of government expenditure),14.6466,
50,Bangladesh,2018,Public expenditure on education (% of GDP),1.986,
52,Barbados,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.1543,
52,Barbados,2005,All staff compensation as % of total expenditure in public institutions (%),79.8677,
52,Barbados,2005,Capital expenditure as % of total expenditure in public institutions (%),3.978,
52,Barbados,2005,Expenditure by level of education: pre-primary (as % of government expenditure),6.2525,Estimate.
52,Barbados,2005,Expenditure by level of education: primary (as % of government expenditure),27.8938,Estimate.
52,Barbados,2005,Expenditure by level of education: secondary (as % of government expenditure),31.6959,
52,Barbados,2005,Expenditure by level of education: tertiary (as % of government expenditure),31.5778,
52,Barbados,2005,Government expenditure on education (% of government expenditure),17.5071,
52,Barbados,2005,Public expenditure on education (% of GDP),5.557,
52,Barbados,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.4964,
52,Barbados,2008,All staff compensation as % of total expenditure in public institutions (%),78.6461,
52,Barbados,2008,Capital expenditure as % of total expenditure in public institutions (%),6.8575,
52,Barbados,2008,Expenditure by level of education: pre-primary (as % of government expenditure),0.3798,
52,Barbados,2008,Expenditure by level of education: primary (as % of government expenditure),36.8566,
52,Barbados,2008,Expenditure by level of education: secondary (as % of government expenditure),29.3694,
52,Barbados,2008,Expenditure by level of education: tertiary (as % of government expenditure),30.0896,
52,Barbados,2008,Government expenditure on education (% of government expenditure),15.1719,
52,Barbados,2008,Public expenditure on education (% of GDP),4.9245,
52,Barbados,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.4493,
52,Barbados,2010,All staff compensation as % of total expenditure in public institutions (%),83.3696,
52,Barbados,2010,Capital expenditure as % of total expenditure in public institutions (%),6.1812,
52,Barbados,2010,Expenditure by level of education: secondary (as % of government expenditure),29.6374,
52,Barbados,2010,Expenditure by level of education: tertiary (as % of government expenditure),32.5057,
52,Barbados,2010,Government expenditure on education (% of government expenditure),17.4538,
52,Barbados,2010,Public expenditure on education (% of GDP),6.0349,
52,Barbados,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),47.7696,
52,Barbados,2014,All staff compensation as % of total expenditure in public institutions (%),48.6211,
52,Barbados,2014,Capital expenditure as % of total expenditure in public institutions (%),3.6093,
52,Barbados,2014,Expenditure by level of education: secondary (as % of government expenditure),22.4762,
52,Barbados,2014,Expenditure by level of education: tertiary (as % of government expenditure),39.2768,
52,Barbados,2014,Government expenditure on education (% of government expenditure),17.4511,
52,Barbados,2014,Public expenditure on education (% of GDP),6.2294,
52,Barbados,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),50.4527,
52,Barbados,2016,All staff compensation as % of total expenditure in public institutions (%),45.3425,
52,Barbados,2016,Capital expenditure as % of total expenditure in public institutions (%),4.2048,
52,Barbados,2016,Expenditure by level of education: primary (as % of government expenditure),29.6064,
52,Barbados,2016,Expenditure by level of education: secondary (as % of government expenditure),39.3067,
52,Barbados,2016,Expenditure by level of education: tertiary (as % of government expenditure),31.0869,
52,Barbados,2016,Government expenditure on education (% of government expenditure),14.0553,
52,Barbados,2016,Public expenditure on education (% of GDP),5.0927,
52,Barbados,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),38.4916,
52,Barbados,2017,All staff compensation as % of total expenditure in public institutions (%),57.0616,
52,Barbados,2017,Capital expenditure as % of total expenditure in public institutions (%),4.4468,
52,Barbados,2017,Expenditure by level of education: tertiary (as % of government expenditure),28.5407,
52,Barbados,2017,Government expenditure on education (% of government expenditure),12.8792,
52,Barbados,2017,Public expenditure on education (% of GDP),4.6565,
112,Belarus,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.0787,
112,Belarus,2005,All staff compensation as % of total expenditure in public institutions (%),65.1658,
112,Belarus,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7555,
112,Belarus,2005,Expenditure by level of education: pre-primary (as % of government expenditure),17.3711,
112,Belarus,2005,Expenditure by level of education: tertiary (as % of government expenditure),25.4776,
112,Belarus,2005,Government expenditure on education (% of government expenditure),12.6201,
112,Belarus,2005,Public expenditure on education (% of GDP),5.871,
112,Belarus,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.5025,
112,Belarus,2010,All staff compensation as % of total expenditure in public institutions (%),62.5684,
112,Belarus,2010,Capital expenditure as % of total expenditure in public institutions (%),10.9292,
112,Belarus,2010,Expenditure by level of education: pre-primary (as % of government expenditure),18.9914,
112,Belarus,2010,Expenditure by level of education: tertiary (as % of government expenditure),17.1275,
112,Belarus,2010,Government expenditure on education (% of government expenditure),11.7781,
112,Belarus,2010,Public expenditure on education (% of GDP),5.0917,
112,Belarus,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.7761,
112,Belarus,2011,All staff compensation as % of total expenditure in public institutions (%),65.4195,
112,Belarus,2011,Capital expenditure as % of total expenditure in public institutions (%),7.8045,
112,Belarus,2011,Expenditure by level of education: pre-primary (as % of government expenditure),21.0462,
112,Belarus,2011,Expenditure by level of education: tertiary (as % of government expenditure),17.2959,
112,Belarus,2011,Government expenditure on education (% of government expenditure),11.6267,
